ID,Date,Company,Title,Location,Link
,2022-09-08,RD Station,Pessoa Engenheira de Software Backend - Internal Systems,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-engenheira-de-software-backend-internal-systems-at-rd-station-3260532306?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=DTtkWBwYj%2BW9Q93dBX9RjQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-08-17,ESSS,Desenvolvedor de Software Python,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-python-at-esss-3257030153?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=Cz66E2RmfG3BnjiV%2Fs%2B9Xw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-02,Canonical,Kernel Resilience Engineer - Canonical Ubuntu,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/kernel-resilience-engineer-canonical-ubuntu-at-canonical-3249525166?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=71aD7MaVgJ1bMHGG4XJmeA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-09,Doutor-IE | Inteligência Automotiva,Vaga para desenvolvedor Sênior backend PHP,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/vaga-para-desenvolvedor-s%C3%AAnior-backend-php-at-doutor-ie-intelig%C3%AAncia-automotiva-3262326163?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=IMli0VqMt26lrmJSbdZAZw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-13,CheckStore,Desenvolvedor Front-end Junior,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-front-end-junior-at-checkstore-3260074209?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=BpbcOkQXhE%2F4A4gOfq88vQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-09,Dynamox,DESENVOLVEDOR DE HARDWARE E SOFTWARE,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-hardware-e-software-at-dynamox-3254129090?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=U4FlbAPXETyin60Ba5AfIA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-19,Oowlish,Python Software Programmer - Work from Home,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/python-software-programmer-work-from-home-at-oowlish-3275698793?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=Ohq1CjujLQ26O5RAHHxYhw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-08-29,Mercado Livre Brasil,Desenvolvedora / Desenvolvedor Júnior de Frontend para Bootcamp de Tecnologia,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedora-desenvolvedor-j%C3%BAnior-de-frontend-para-bootcamp-de-tecnologia-at-mercado-livre-3242350195?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=9h3%2B0wYsGCieQ6QmgxwYzA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-08,Zipdev,Python Software Engineer,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/python-software-engineer-at-zipdev-3259496398?refId=uaRxlkoRyDeSurSvyPY92w%3D%3D&trackingId=KOnbDJfALwra4%2FsM3YsCRg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
,2022-09-09,REIVAX S/A Automação e Controle,Desenvolvedor de Software (P&D),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-de-software-p-d-at-reivax-s-a-automa%C3%A7%C3%A3o-e-controle-3254127973?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=Tsd9NwaEeZQkYUzbRJTlmQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-08-19,Fundação CERTI,Pessoa Desenvolvedora de Software - LabFaber,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/pessoa-desenvolvedora-de-software-labfaber-at-funda%C3%A7%C3%A3o-certi-3267297000?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=nvlrIZtN4Y%2FTd5PjWvWQ3w%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-07-21,Canonical,Python Software Engineer - Networking/Telco,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/python-software-engineer-networking-telco-at-canonical-3182148397?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=F7Gyq78z%2F8JGdJqLQjssrg%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-07-07,Canonical,Software Engineer (Python/Linux/Packaging),"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-python-linux-packaging-at-canonical-3200161935?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=IcrAu7INBtlHTHldmrHGdA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-09,Canonical,Software Engineer - Ubuntu Server Certification,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-ubuntu-server-certification-at-canonical-3262424081?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=tOxeTkPyUkGmT347toOYEw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-07-29,Canonical,Software Engineer - Python and K8s,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/software-engineer-python-and-k8s-at-canonical-3235114429?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=%2FGCueTFgB%2FNIGoNSLnbUZg%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-08-25,Mercado Livre Brasil,Engenheira/ Engenheiro de Software de Backend para Tecnologia,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/engenheira-engenheiro-de-software-de-backend-para-tecnologia-at-mercado-livre-3237164128?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=0ZJa64ylSN%2BCTmtD9JXOwQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-09,Audaces,Desenvolvedor C++,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-c%2B%2B-at-audaces-3254127093?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=QnbKhdvVxo2skfXq3Ef40Q%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-05-06,GE Renewable Energy,Full Stack Software Engineer,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/full-stack-software-engineer-at-ge-renewable-energy-3097302079?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=KsScCiFgSaJvAfYqVfU5Ww%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
,2022-09-02,Ponyhof Leiting,Desenvolvedor C++ SR,"Florianópolis, Santa Catarina, Brazil",https://br.linkedin.com/jobs/view/desenvolvedor-c%2B%2B-sr-at-ponyhof-leiting-3251111456?refId=Pa0Sr0tkBPQV3VUXox7qXQ%3D%3D&trackingId=7znkMy3ro1o8V4h0%2B5chyg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
